Endodermis,Epidermis,Exodermis,GeneralCortex,InnerCortex,MeristematicCortex,MeristematicZone,Phloem,QuiescentCenter,Vasculature,Xylem
Solyc00g009140,Solyc00g008165,Solyc00g005840,Solyc00g005840,Solyc00g006805,Solyc00g009765,Solyc00g009070,Solyc00g013160,Solyc00g007090,Solyc00g005000,Solyc00g005080
Solyc00g020040,Solyc00g009080,Solyc00g009120,Solyc00g006805,Solyc00g014840,Solyc00g215560,Solyc00g019750,Solyc00g014850,Solyc00g008915,Solyc00g019740,Solyc00g005907
Solyc00g042840,Solyc00g014790,Solyc00g024150,Solyc00g014840,Solyc00g050130,Solyc01g007830,Solyc00g090870,Solyc00g030520,Solyc00g009050,Solyc01g005320,Solyc00g012708
Solyc00g094530,Solyc00g014800,Solyc00g047180,Solyc00g050130,Solyc01g005140,Solyc01g008780,Solyc00g097960,Solyc00g048510,Solyc00g010525,Solyc01g005520,Solyc00g013130
Solyc00g179240,Solyc00g022080,Solyc00g053440,Solyc00g156980,Solyc01g005305,Solyc01g058530,Solyc00g217560,Solyc00g052430,Solyc00g011160,Solyc01g006060,Solyc00g013181
Solyc00g273110,Solyc00g047200,Solyc00g072400,Solyc00g170200,Solyc01g005410,Solyc01g068020,Solyc00g311230,Solyc00g069880,Solyc00g011175,Solyc01g007770,Solyc00g021650
Solyc01g005110,Solyc00g080750,Solyc00g095860,Solyc01g005140,Solyc01g005680,Solyc01g086800,Solyc01g005380,Solyc00g072100,Solyc00g012435,Solyc01g008460,Solyc00g022103
Solyc01g005220,Solyc00g099160,Solyc00g156980,Solyc01g005305,Solyc01g005980,Solyc01g086995,Solyc01g006997,Solyc00g108550,Solyc00g012440,Solyc01g010200,Solyc00g032943
Solyc01g005670,Solyc00g136565,Solyc00g170200,Solyc01g005410,Solyc01g005990,Solyc01g094540,Solyc01g007110,Solyc00g174340,Solyc00g012704,Solyc01g020190,Solyc00g058480
Solyc01g006850,Solyc00g141360,Solyc00g227860,Solyc01g005680,Solyc01g006380,Solyc01g096860,Solyc01g007180,Solyc00g201160,Solyc00g013120,Solyc01g056830,Solyc00g068985
Solyc01g008472,Solyc00g217960,Solyc00g256710,Solyc01g005980,Solyc01g006790,Solyc01g098340,Solyc01g007200,Solyc00g316530,Solyc00g013140,Solyc01g067700,Solyc00g094540
Solyc01g008490,Solyc01g005350,Solyc01g005590,Solyc01g005990,Solyc01g008250,Solyc01g099480,Solyc01g008260,Solyc01g005000,Solyc00g013155,Solyc01g068140,Solyc00g142170
Solyc01g009330,Solyc01g005370,Solyc01g005630,Solyc01g006380,Solyc01g008910,Solyc01g102650,Solyc01g010835,Solyc01g005150,Solyc00g013186,Solyc01g068370,Solyc00g203660
Solyc01g009470,Solyc01g005800,Solyc01g006670,Solyc01g006790,Solyc01g010180,Solyc01g103000,Solyc01g018010,Solyc01g006240,Solyc00g014395,Solyc01g079630,Solyc00g244290
Solyc01g010520,Solyc01g006050,Solyc01g007020,Solyc01g007130,Solyc01g011510,Solyc01g103580,Solyc01g049810,Solyc01g007260,Solyc00g014820,Solyc01g080260,Solyc01g005010
Solyc01g010770,Solyc01g006070,Solyc01g007130,Solyc01g007890,Solyc01g014107,Solyc01g104320,Solyc01g049920,Solyc01g007955,Solyc00g014830,Solyc01g080380,Solyc01g005890
Solyc01g010920,Solyc01g006580,Solyc01g007190,Solyc01g007960,Solyc01g020150,Solyc01g104525,Solyc01g056620,Solyc01g008485,Solyc00g015737,Solyc01g080490,Solyc01g006195
Solyc01g010937,Solyc01g006610,Solyc01g007890,Solyc01g008250,Solyc01g021670,Solyc01g105390,Solyc01g057854,Solyc01g008530,Solyc00g017235,Solyc01g080580,Solyc01g007750
Solyc01g014620,Solyc01g006910,Solyc01g007960,Solyc01g008910,Solyc01g044240,Solyc01g105480,Solyc01g060070,Solyc01g009200,Solyc00g019980,Solyc01g081610,Solyc01g007895
Solyc01g015070,Solyc01g007800,Solyc01g008300,Solyc01g008925,Solyc01g056930,Solyc01g106120,Solyc01g060250,Solyc01g009210,Solyc00g020020,Solyc01g081620,Solyc01g008200
Solyc01g016460,Solyc01g008160,Solyc01g008650,Solyc01g009430,Solyc01g058220,Solyc01g108450,Solyc01g060390,Solyc01g009215,Solyc00g021655,Solyc01g087140,Solyc01g008400
Solyc01g020130,Solyc01g008420,Solyc01g008810,Solyc01g010180,Solyc01g067010,Solyc01g109420,Solyc01g066440,Solyc01g009220,Solyc00g022090,Solyc01g088220,Solyc01g008660
Solyc01g044480,Solyc01g008760,Solyc01g008925,Solyc01g010700,Solyc01g067290,Solyc01g109440,Solyc01g066600,Solyc01g009340,Solyc00g022100,Solyc01g091040,Solyc01g008730
Solyc01g049770,Solyc01g009160,Solyc01g009430,Solyc01g011510,Solyc01g079790,Solyc01g110735,Solyc01g066620,Solyc01g009760,Solyc00g023590,Solyc01g091160,Solyc01g009690
Solyc01g049880,Solyc01g009400,Solyc01g009860,Solyc01g014107,Solyc01g080320,Solyc01g110910,Solyc01g066710,Solyc01g010190,Solyc00g023700,Solyc01g091330,Solyc01g009870
Solyc01g056480,Solyc01g009410,Solyc01g010350,Solyc01g020150,Solyc01g080415,Solyc01g110995,Solyc01g068155,Solyc01g010220,Solyc00g025290,Solyc01g091920,Solyc01g011020
Solyc01g056580,Solyc01g009935,Solyc01g010640,Solyc01g021670,Solyc01g080900,Solyc01g112380,Solyc01g068190,Solyc01g010230,Solyc00g025400,Solyc01g094210,Solyc01g011410
Solyc01g056590,Solyc01g010020,Solyc01g010700,Solyc01g044240,Solyc01g086925,Solyc02g030460,Solyc01g068540,Solyc01g010390,Solyc00g039990,Solyc01g094890,Solyc01g013885
Solyc01g058020,Solyc01g010140,Solyc01g011092,Solyc01g056930,Solyc01g087090,Solyc02g032950,Solyc01g068630,Solyc01g010470,Solyc00g047190,Solyc01g096120,Solyc01g016410
Solyc01g058520,Solyc01g021600,Solyc01g012750,Solyc01g058220,Solyc01g087200,Solyc02g036290,Solyc01g073770,Solyc01g017070,Solyc00g049210,Solyc01g096450,Solyc01g016550
Solyc01g065680,Solyc01g049925,Solyc01g059900,Solyc01g066910,Solyc01g090790,Solyc02g065160,Solyc01g074020,Solyc01g017330,Solyc00g072405,Solyc01g098480,Solyc01g017187
Solyc01g067180,Solyc01g049975,Solyc01g066910,Solyc01g067010,Solyc01g090900,Solyc02g067105,Solyc01g079240,Solyc01g017530,Solyc00g095465,Solyc01g100780,Solyc01g017440
Solyc01g067230,Solyc01g058100,Solyc01g067030,Solyc01g067290,Solyc01g092950,Solyc02g070920,Solyc01g079320,Solyc01g057840,Solyc00g117655,Solyc01g103245,Solyc01g017740
Solyc01g067280,Solyc01g059980,Solyc01g068250,Solyc01g079260,Solyc01g094220,Solyc02g077920,Solyc01g079550,Solyc01g060130,Solyc00g128870,Solyc01g103460,Solyc01g017860
Solyc01g067610,Solyc01g066340,Solyc01g073720,Solyc01g079790,Solyc01g094485,Solyc02g078810,Solyc01g079830,Solyc01g060240,Solyc00g230060,Solyc01g103790,Solyc01g020285
Solyc01g081460,Solyc01g066525,Solyc01g073725,Solyc01g080210,Solyc01g094790,Solyc02g080250,Solyc01g080300,Solyc01g060450,Solyc00g230080,Solyc01g104010,Solyc01g049910
Solyc01g087000,Solyc01g066700,Solyc01g079260,Solyc01g080320,Solyc01g095240,Solyc02g080635,Solyc01g080910,Solyc01g065500,Solyc00g289230,Solyc01g104355,Solyc01g050010
Solyc01g088005,Solyc01g067120,Solyc01g079700,Solyc01g080415,Solyc01g096430,Solyc02g082557,Solyc01g088440,Solyc01g065690,Solyc01g005825,Solyc01g105010,Solyc01g057270
Solyc01g088230,Solyc01g067330,Solyc01g080210,Solyc01g080570,Solyc01g097910,Solyc02g084090,Solyc01g088620,Solyc01g066450,Solyc01g006210,Solyc01g105880,Solyc01g057430
Solyc01g088810,Solyc01g067860,Solyc01g080570,Solyc01g080900,Solyc01g098020,Solyc02g084170,Solyc01g088630,Solyc01g066510,Solyc01g006290,Solyc01g107800,Solyc01g060085
Solyc01g090500,Solyc01g068420,Solyc01g080790,Solyc01g086920,Solyc01g098730,Solyc02g085340,Solyc01g089870,Solyc01g066850,Solyc01g006665,Solyc01g108100,Solyc01g060205
Solyc01g090840,Solyc01g068475,Solyc01g081250,Solyc01g086925,Solyc01g099130,Solyc02g085370,Solyc01g091800,Solyc01g066860,Solyc01g006780,Solyc01g108420,Solyc01g060210
Solyc01g091360,Solyc01g068545,Solyc01g081270,Solyc01g087040,Solyc01g099510,Solyc02g085705,Solyc01g094010,Solyc01g066940,Solyc01g007240,Solyc01g109230,Solyc01g060410
Solyc01g091430,Solyc01g073810,Solyc01g081630,Solyc01g087090,Solyc01g099650,Solyc02g086760,Solyc01g094780,Solyc01g066957,Solyc01g008640,Solyc01g109330,Solyc01g067250
Solyc01g091570,Solyc01g073820,Solyc01g086920,Solyc01g087200,Solyc01g102637,Solyc02g088117,Solyc01g095160,Solyc01g067165,Solyc01g008790,Solyc01g109610,Solyc01g079170
Solyc01g091820,Solyc01g073830,Solyc01g087040,Solyc01g087970,Solyc01g102840,Solyc02g088945,Solyc01g096130,Solyc01g068360,Solyc01g009770,Solyc01g109655,Solyc01g079200
Solyc01g095715,Solyc01g073860,Solyc01g087440,Solyc01g088590,Solyc01g102960,Solyc02g088956,Solyc01g096475,Solyc01g068380,Solyc01g010130,Solyc01g109720,Solyc01g079800
Solyc01g097360,Solyc01g079920,Solyc01g087970,Solyc01g090790,Solyc01g104055,Solyc02g089495,Solyc01g096770,Solyc01g068410,Solyc01g010970,Solyc01g110150,Solyc01g081040
Solyc01g098527,Solyc01g079940,Solyc01g087980,Solyc01g090900,Solyc01g104413,Solyc02g092533,Solyc01g097070,Solyc01g079290,Solyc01g011080,Solyc01g111110,Solyc01g081210
Solyc01g098805,Solyc01g079960,Solyc01g088590,Solyc01g092950,Solyc01g104710,Solyc02g092537,Solyc01g100430,Solyc01g079430,Solyc01g017170,Solyc01g111310,Solyc01g081293
Solyc01g098940,Solyc01g079970,Solyc01g089907,Solyc01g094220,Solyc01g104950,Solyc03g007930,Solyc01g100455,Solyc01g079460,Solyc01g017400,Solyc01g111400,Solyc01g081297
Solyc01g099450,Solyc01g080010,Solyc01g090560,Solyc01g094260,Solyc01g105420,Solyc03g020070,Solyc01g103360,Solyc01g079850,Solyc01g017410,Solyc01g111500,Solyc01g086893
Solyc01g100240,Solyc01g080020,Solyc01g090610,Solyc01g094410,Solyc01g105960,Solyc03g033410,Solyc01g103590,Solyc01g080290,Solyc01g017420,Solyc02g021340,Solyc01g087007
Solyc01g101220,Solyc01g081560,Solyc01g090680,Solyc01g094485,Solyc01g106170,Solyc03g033825,Solyc01g104990,Solyc01g080400,Solyc01g017485,Solyc02g021475,Solyc01g087332
Solyc01g102270,Solyc01g086680,Solyc01g091455,Solyc01g094790,Solyc01g106500,Solyc03g044710,Solyc01g106375,Solyc01g080700,Solyc01g017490,Solyc02g032080,Solyc01g087340
Solyc01g102450,Solyc01g086730,Solyc01g093965,Solyc01g095240,Solyc01g106820,Solyc03g046547,Solyc01g106640,Solyc01g080770,Solyc01g017720,Solyc02g032550,Solyc01g087565
Solyc01g103270,Solyc01g087010,Solyc01g094250,Solyc01g096430,Solyc01g107420,Solyc03g051950,Solyc01g106910,Solyc01g081020,Solyc01g060300,Solyc02g032580,Solyc01g088245
Solyc01g103980,Solyc01g087520,Solyc01g094260,Solyc01g097770,Solyc01g107460,Solyc03g082560,Solyc01g107140,Solyc01g081400,Solyc01g065590,Solyc02g062650,Solyc01g088820
Solyc01g104720,Solyc01g087570,Solyc01g094410,Solyc01g097910,Solyc01g108570,Solyc03g082725,Solyc01g107240,Solyc01g081600,Solyc01g066453,Solyc02g062690,Solyc01g089950
Solyc01g104910,Solyc01g088400,Solyc01g094700,Solyc01g098020,Solyc01g108700,Solyc03g095970,Solyc01g107490,Solyc01g086720,Solyc01g067690,Solyc02g063430,Solyc01g090130
Solyc01g106520,Solyc01g088450,Solyc01g094965,Solyc01g098730,Solyc01g109390,Solyc03g112200,Solyc01g109050,Solyc01g087150,Solyc01g068060,Solyc02g069600,Solyc01g090810
Solyc01g106810,Solyc01g088490,Solyc01g094970,Solyc01g099020,Solyc01g110195,Solyc03g112220,Solyc01g109070,Solyc01g090240,Solyc01g073755,Solyc02g069620,Solyc01g091050
Solyc01g107370,Solyc01g088530,Solyc01g094990,Solyc01g099130,Solyc01g110670,Solyc03g113170,Solyc01g109970,Solyc01g090400,Solyc01g080040,Solyc02g070660,Solyc01g091060
Solyc01g108000,Solyc01g088750,Solyc01g095305,Solyc01g099240,Solyc01g110682,Solyc03g115920,Solyc01g110570,Solyc01g090550,Solyc01g080830,Solyc02g072240,Solyc01g091145
Solyc01g108050,Solyc01g088830,Solyc01g095520,Solyc01g099510,Solyc01g111630,Solyc03g117400,Solyc01g111670,Solyc01g090710,Solyc01g087480,Solyc02g072570,Solyc01g091450
Solyc01g108200,Solyc01g089900,Solyc01g096280,Solyc01g099650,Solyc02g005100,Solyc03g119070,Solyc01g112165,Solyc01g091715,Solyc01g088780,Solyc02g076880,Solyc01g091770
Solyc01g108320,Solyc01g089903,Solyc01g096320,Solyc01g099745,Solyc02g022934,Solyc04g005120,Solyc02g014450,Solyc01g093990,Solyc01g090225,Solyc02g077230,Solyc01g095220
Solyc01g109085,Solyc01g089930,Solyc01g096420,Solyc01g102637,Solyc02g031840,Solyc04g007170,Solyc02g021230,Solyc01g094690,Solyc01g094590,Solyc02g077300,Solyc01g095430
Solyc01g110035,Solyc01g090645,Solyc01g096510,Solyc01g102840,Solyc02g032170,Solyc04g009000,Solyc02g024010,Solyc01g095250,Solyc01g095140,Solyc02g077400,Solyc01g095810
Solyc01g110640,Solyc01g091100,Solyc01g096620,Solyc01g102960,Solyc02g032560,Solyc04g014940,Solyc02g032870,Solyc01g095610,Solyc01g095330,Solyc02g077440,Solyc01g097195
Solyc01g111933,Solyc01g091110,Solyc01g096720,Solyc01g104055,Solyc02g032800,Solyc04g015400,Solyc02g036310,Solyc01g095950,Solyc01g096080,Solyc02g078040,Solyc01g097220
Solyc01g112175,Solyc01g091140,Solyc01g097155,Solyc01g104413,Solyc02g036470,Solyc04g024880,Solyc02g050207,Solyc01g096250,Solyc01g096220,Solyc02g079950,Solyc01g097230
Solyc02g005115,Solyc01g094270,Solyc01g097520,Solyc01g104710,Solyc02g061820,Solyc04g028580,Solyc02g063220,Solyc01g096255,Solyc01g100230,Solyc02g082285,Solyc01g097730
Solyc02g021160,Solyc01g094380,Solyc01g097770,Solyc01g104950,Solyc02g062570,Solyc04g039850,Solyc02g063280,Solyc01g096880,Solyc01g103120,Solyc02g083400,Solyc01g097830
Solyc02g036130,Solyc01g095550,Solyc01g098570,Solyc01g105030,Solyc02g062710,Solyc04g039980,Solyc02g063300,Solyc01g096960,Solyc01g103190,Solyc02g084570,Solyc01g097930
Solyc02g036300,Solyc01g095830,Solyc01g099020,Solyc01g105420,Solyc02g063150,Solyc04g049410,Solyc02g065000,Solyc01g096970,Solyc01g103400,Solyc02g084950,Solyc01g098455
Solyc02g037495,Solyc01g095840,Solyc01g099240,Solyc01g105960,Solyc02g065170,Solyc04g051660,Solyc02g067960,Solyc01g097440,Solyc01g104430,Solyc02g085110,Solyc01g098540
Solyc02g055460,Solyc01g096193,Solyc01g099340,Solyc01g106170,Solyc02g065685,Solyc04g056290,Solyc02g068580,Solyc01g097825,Solyc01g104630,Solyc02g085120,Solyc01g099380
Solyc02g062300,Solyc01g096980,Solyc01g099370,Solyc01g106500,Solyc02g065805,Solyc04g058060,Solyc02g068895,Solyc01g098190,Solyc01g104890,Solyc02g085130,Solyc01g099440
Solyc02g065690,Solyc01g097540,Solyc01g099745,Solyc01g106820,Solyc02g068075,Solyc04g064590,Solyc02g070820,Solyc01g099645,Solyc01g106100,Solyc02g085360,Solyc01g100630
Solyc02g067970,Solyc01g097550,Solyc01g100760,Solyc01g107420,Solyc02g068200,Solyc04g076527,Solyc02g071450,Solyc01g099960,Solyc01g106230,Solyc02g086300,Solyc01g100640
Solyc02g068260,Solyc01g098320,Solyc01g102675,Solyc01g107460,Solyc02g069207,Solyc04g081670,Solyc02g071590,Solyc01g100890,Solyc01g107690,Solyc02g086840,Solyc01g102770
Solyc02g068645,Solyc01g098960,Solyc01g102685,Solyc01g107660,Solyc02g069290,Solyc05g006320,Solyc02g072320,Solyc01g100900,Solyc01g108610,Solyc02g087100,Solyc01g103260
Solyc02g068790,Solyc01g099160,Solyc01g102900,Solyc01g108490,Solyc02g069460,Solyc05g015043,Solyc02g072450,Solyc01g100920,Solyc01g109210,Solyc02g087520,Solyc01g103275
Solyc02g070020,Solyc01g099330,Solyc01g104030,Solyc01g108570,Solyc02g070940,Solyc05g016260,Solyc02g077315,Solyc01g101120,Solyc01g109250,Solyc02g087800,Solyc01g103300
Solyc02g070230,Solyc01g099870,Solyc01g105030,Solyc01g108700,Solyc02g070980,Solyc05g016395,Solyc02g077690,Solyc01g101260,Solyc01g110020,Solyc02g088952,Solyc01g103340
Solyc02g072560,Solyc01g099920,Solyc01g105410,Solyc01g108860,Solyc02g071010,Solyc05g021410,Solyc02g077840,Solyc01g102440,Solyc01g110684,Solyc02g089130,Solyc01g103500
Solyc02g075625,Solyc01g100390,Solyc01g105497,Solyc01g109140,Solyc02g071720,Solyc05g026350,Solyc02g078760,Solyc01g102520,Solyc02g005423,Solyc02g089460,Solyc01g103620
Solyc02g076920,Solyc01g100410,Solyc01g105660,Solyc01g109390,Solyc02g072100,Solyc05g042070,Solyc02g079460,Solyc01g103140,Solyc02g021770,Solyc02g089550,Solyc01g104417
Solyc02g077470,Solyc01g100880,Solyc01g105770,Solyc01g109500,Solyc02g076670,Solyc05g050320,Solyc02g079510,Solyc01g103530,Solyc02g030130,Solyc02g090600,Solyc01g104434
Solyc02g077550,Solyc01g102280,Solyc01g106340,Solyc01g110195,Solyc02g078150,Solyc05g055290,Solyc02g079830,Solyc01g104260,Solyc02g032303,Solyc02g091700,Solyc01g104650
Solyc02g078285,Solyc01g102680,Solyc01g106480,Solyc01g110670,Solyc02g078380,Solyc06g007300,Solyc02g080150,Solyc01g104290,Solyc02g043810,Solyc02g092190,Solyc01g104810
Solyc02g078510,Solyc01g102890,Solyc01g106780,Solyc01g110682,Solyc02g078860,Solyc06g008990,Solyc02g080550,Solyc01g104520,Solyc02g062040,Solyc02g092450,Solyc01g105495
Solyc02g078740,Solyc01g103295,Solyc01g107050,Solyc01g111630,Solyc02g079200,Solyc06g009985,Solyc02g082930,Solyc01g104660,Solyc02g062860,Solyc02g092523,Solyc01g105823
Solyc02g079580,Solyc01g103330,Solyc01g107060,Solyc01g112260,Solyc02g079270,Solyc06g011530,Solyc02g083120,Solyc01g106177,Solyc02g065540,Solyc02g092700,Solyc01g106175
Solyc02g080040,Solyc01g103390,Solyc01g107390,Solyc02g005100,Solyc02g080190,Solyc06g034140,Solyc02g083765,Solyc01g106205,Solyc02g067300,Solyc02g093280,Solyc01g106600
Solyc02g080950,Solyc01g103470,Solyc01g107660,Solyc02g014150,Solyc02g081050,Solyc06g051990,Solyc02g083770,Solyc01g106310,Solyc02g068390,Solyc02g093695,Solyc01g107990
Solyc02g081000,Solyc01g104550,Solyc01g107900,Solyc02g022934,Solyc02g081610,Solyc06g054220,Solyc02g083775,Solyc01g106650,Solyc02g068877,Solyc02g094050,Solyc01g108560
Solyc02g082600,Solyc01g104850,Solyc01g108490,Solyc02g031840,Solyc02g082200,Solyc06g060690,Solyc02g084365,Solyc01g106805,Solyc02g070220,Solyc03g005160,Solyc01g108970
Solyc02g082720,Solyc01g105225,Solyc01g108860,Solyc02g032170,Solyc02g083810,Solyc06g062320,Solyc02g084960,Solyc01g107430,Solyc02g070620,Solyc03g006810,Solyc01g110643
Solyc02g082763,Solyc01g105550,Solyc01g109140,Solyc02g032560,Solyc02g084380,Solyc06g064510,Solyc02g085010,Solyc01g107625,Solyc02g070877,Solyc03g007090,Solyc01g110686
Solyc02g082770,Solyc01g105590,Solyc01g109200,Solyc02g032800,Solyc02g085470,Solyc06g065450,Solyc02g085210,Solyc01g107680,Solyc02g071410,Solyc03g007180,Solyc01g110688
Solyc02g083180,Solyc01g105630,Solyc01g109500,Solyc02g036470,Solyc02g085910,Solyc06g071700,Solyc02g085690,Solyc01g107760,Solyc02g077890,Solyc03g007360,Solyc01g110810
Solyc02g083285,Solyc01g106610,Solyc01g110360,Solyc02g061820,Solyc02g085935,Solyc06g072970,Solyc02g086315,Solyc01g108190,Solyc02g077910,Solyc03g007460,Solyc01g111750
Solyc02g083780,Solyc01g106630,Solyc01g110580,Solyc02g062140,Solyc02g086380,Solyc06g074450,Solyc02g086640,Solyc01g110110,Solyc02g078300,Solyc03g007650,Solyc01g111810
Solyc02g084163,Solyc01g107710,Solyc01g111040,Solyc02g062570,Solyc02g086730,Solyc07g005583,Solyc02g086740,Solyc01g110843,Solyc02g078980,Solyc03g007850,Solyc02g005315
Solyc02g084260,Solyc01g107720,Solyc01g111230,Solyc02g062710,Solyc02g087600,Solyc07g006870,Solyc02g087150,Solyc01g111275,Solyc02g081060,Solyc03g013440,Solyc02g011680
Solyc02g086980,Solyc01g108083,Solyc01g111250,Solyc02g063150,Solyc02g087890,Solyc07g007920,Solyc02g087370,Solyc01g111440,Solyc02g081950,Solyc03g025220,Solyc02g011980
Solyc02g087415,Solyc01g108440,Solyc01g111640,Solyc02g064940,Solyc02g088040,Solyc07g021340,Solyc02g087510,Solyc01g111610,Solyc02g082590,Solyc03g025455,Solyc02g011990
Solyc02g088345,Solyc01g108740,Solyc01g111800,Solyc02g065170,Solyc02g088070,Solyc07g042600,Solyc02g087610,Solyc01g111700,Solyc02g082617,Solyc03g026160,Solyc02g014187
Solyc02g088427,Solyc01g108990,Solyc01g112260,Solyc02g065400,Solyc02g089090,Solyc07g042690,Solyc02g087920,Solyc01g112370,Solyc02g082740,Solyc03g031420,Solyc02g021000
Solyc02g088517,Solyc01g109150,Solyc02g005200,Solyc02g065685,Solyc02g089660,Solyc07g045315,Solyc02g088080,Solyc02g011860,Solyc02g082880,Solyc03g033260,Solyc02g050187
Solyc02g088770,Solyc01g110060,Solyc02g014150,Solyc02g065780,Solyc02g089690,Solyc07g047940,Solyc02g088170,Solyc02g014470,Solyc02g083170,Solyc03g033270,Solyc02g061940
Solyc02g088987,Solyc01g111235,Solyc02g021690,Solyc02g065805,Solyc02g090680,Solyc07g048040,Solyc02g088830,Solyc02g014560,Solyc02g083480,Solyc03g033480,Solyc02g062310
Solyc02g090020,Solyc01g111970,Solyc02g030300,Solyc02g066960,Solyc02g091450,Solyc07g062120,Solyc02g089120,Solyc02g020900,Solyc02g083490,Solyc03g033530,Solyc02g062655
Solyc02g090505,Solyc01g112120,Solyc02g044020,Solyc02g067050,Solyc02g091560,Solyc07g062440,Solyc02g089170,Solyc02g020960,Solyc02g084180,Solyc03g043770,Solyc02g063200
Solyc02g090520,Solyc02g011760,Solyc02g061955,Solyc02g068075,Solyc02g091590,Solyc07g062907,Solyc02g090310,Solyc02g030450,Solyc02g084190,Solyc03g043900,Solyc02g063320
Solyc02g091627,Solyc02g014830,Solyc02g062140,Solyc02g068200,Solyc02g092140,Solyc07g064340,Solyc02g090400,Solyc02g031740,Solyc02g084860,Solyc03g044910,Solyc02g065050
Solyc02g092050,Solyc02g022920,Solyc02g063390,Solyc02g069207,Solyc02g092410,Solyc08g007290,Solyc02g090720,Solyc02g032100,Solyc02g084900,Solyc03g053023,Solyc02g065410
Solyc02g092200,Solyc02g032030,Solyc02g064690,Solyc02g069290,Solyc02g092570,Solyc08g014370,Solyc02g091350,Solyc02g032380,Solyc02g086430,Solyc03g062790,Solyc02g066930
Solyc02g092290,Solyc02g032460,Solyc02g064770,Solyc02g069460,Solyc02g092720,Solyc08g014540,Solyc02g092357,Solyc02g032940,Solyc02g086700,Solyc03g063190,Solyc02g067260
Solyc02g092515,Solyc02g032490,Solyc02g064940,Solyc02g070080,Solyc02g093197,Solyc08g016410,Solyc02g093420,Solyc02g036260,Solyc02g087160,Solyc03g093330,Solyc02g067270
Solyc02g092600,Solyc02g032877,Solyc02g065280,Solyc02g070940,Solyc02g094740,Solyc08g062340,Solyc02g093850,Solyc02g036430,Solyc02g088210,Solyc03g095200,Solyc02g067465
Solyc02g092650,Solyc02g063440,Solyc02g065400,Solyc02g070980,Solyc03g005770,Solyc08g062450,Solyc02g094480,Solyc02g037590,Solyc02g090120,Solyc03g095420,Solyc02g069570
Solyc02g093430,Solyc02g063480,Solyc02g065470,Solyc02g071010,Solyc03g005820,Solyc08g062703,Solyc03g005537,Solyc02g044045,Solyc02g090410,Solyc03g096350,Solyc02g069880
Solyc02g093450,Solyc02g065150,Solyc02g065490,Solyc02g071720,Solyc03g006490,Solyc08g065410,Solyc03g006390,Solyc02g055440,Solyc02g091320,Solyc03g096430,Solyc02g069925
Solyc02g094260,Solyc02g065230,Solyc02g065780,Solyc02g072100,Solyc03g006880,Solyc08g067160,Solyc03g007200,Solyc02g061850,Solyc02g092620,Solyc03g111400,Solyc02g071190
Solyc03g005030,Solyc02g065420,Solyc02g066800,Solyc02g076670,Solyc03g007710,Solyc08g067820,Solyc03g007350,Solyc02g062380,Solyc02g092930,Solyc03g112560,Solyc02g072490
Solyc03g006173,Solyc02g065530,Solyc02g066960,Solyc02g077020,Solyc03g013240,Solyc08g068760,Solyc03g019880,Solyc02g062385,Solyc02g093650,Solyc03g113880,Solyc02g077170
Solyc03g013460,Solyc02g065550,Solyc02g067050,Solyc02g078150,Solyc03g013340,Solyc08g074350,Solyc03g025370,Solyc02g062460,Solyc02g093660,Solyc03g114020,Solyc02g077310
Solyc03g013615,Solyc02g065610,Solyc02g067490,Solyc02g078380,Solyc03g019670,Solyc08g074897,Solyc03g026100,Solyc02g062463,Solyc02g093990,Solyc03g114165,Solyc02g077860
Solyc03g025500,Solyc02g065740,Solyc02g068070,Solyc02g078750,Solyc03g019700,Solyc08g077910,Solyc03g031660,Solyc02g062500,Solyc02g094220,Solyc03g115167,Solyc02g078015
Solyc03g026210,Solyc02g067250,Solyc02g069250,Solyc02g078860,Solyc03g019790,Solyc08g078380,Solyc03g033710,Solyc02g062760,Solyc03g005315,Solyc03g115220,Solyc02g078330
Solyc03g031770,Solyc02g069070,Solyc02g069350,Solyc02g079200,Solyc03g025700,Solyc08g082950,Solyc03g033720,Solyc02g062800,Solyc03g005800,Solyc03g117100,Solyc02g080610
Solyc03g033535,Solyc02g069203,Solyc02g069440,Solyc02g079270,Solyc03g034220,Solyc09g005200,Solyc03g044085,Solyc02g063180,Solyc03g006020,Solyc03g117380,Solyc02g080995
Solyc03g043720,Solyc02g069320,Solyc02g069455,Solyc02g079570,Solyc03g034320,Solyc09g008690,Solyc03g044470,Solyc02g065010,Solyc03g006270,Solyc03g117500,Solyc02g082040
Solyc03g044590,Solyc02g069690,Solyc02g069860,Solyc02g079780,Solyc03g044028,Solyc09g008860,Solyc03g044660,Solyc02g065515,Solyc03g006600,Solyc03g117560,Solyc02g082170
Solyc03g061540,Solyc02g070090,Solyc02g070080,Solyc02g080190,Solyc03g044625,Solyc09g009175,Solyc03g044810,Solyc02g065590,Solyc03g006717,Solyc03g118300,Solyc02g083090
Solyc03g061560,Solyc02g070180,Solyc02g070480,Solyc02g080200,Solyc03g044747,Solyc09g011620,Solyc03g058430,Solyc02g066830,Solyc03g007540,Solyc03g118370,Solyc02g083370
Solyc03g063390,Solyc02g070200,Solyc02g070770,Solyc02g080540,Solyc03g062930,Solyc09g011830,Solyc03g059155,Solyc02g067275,Solyc03g007825,Solyc03g118700,Solyc02g084117
